Date,Close,High,Low,Open,Volume
02/01/2015,2058.199951,2072.360107,2046.040039,2058.899902,2708700000
05/01/2015,2020.579956,2054.439941,2017.339966,2054.439941,3799120000
06/01/2015,2002.609985,2030.25,1992.439941,2022.150024,4460110000
07/01/2015,2025.900024,2029.609985,2005.550049,2005.550049,3805480000
08/01/2015,2062.139893,2064.080078,2030.609985,2030.609985,3934010000
09/01/2015,2044.810059,2064.429932,2038.329956,2063.449951,3364140000
12/01/2015,2028.26001,2049.300049,2022.579956,2046.130005,3456460000
13/01/2015,2023.030029,2056.929932,2008.25,2031.579956,4107300000
14/01/2015,2011.27002,2018.400024,1988.439941,2018.400024,4378680000
15/01/2015,1992.670044,2021.349976,1991.469971,2013.75,4276720000
16/01/2015,2019.420044,2020.459961,1988.119995,1992.25,4056410000
20/01/2015,2022.550049,2028.939941,2004.48999,2020.76001,3944340000
21/01/2015,2032.119995,2038.290039,2012.040039,2020.189941,3730070000
22/01/2015,2063.149902,2064.620117,2026.380005,2034.300049,4176050000
23/01/2015,2051.820068,2062.97998,2050.540039,2062.97998,3573560000
26/01/2015,2057.090088,2057.620117,2040.969971,2050.419922,3465760000
27/01/2015,2029.550049,2047.859985,2019.910034,2047.859985,3329810000
28/01/2015,2002.160034,2042.48999,2001.48999,2032.339966,4067530000
29/01/2015,2021.25,2024.640015,1989.180054,2002.449951,4127140000
30/01/2015,1994.98999,2023.319946,1993.380005,2019.349976,4568650000
02/02/2015,2020.849976,2021.660034,1980.900024,1996.670044,4008330000
03/02/2015,2050.030029,2050.300049,2022.709961,2022.709961,4615900000
04/02/2015,2041.51001,2054.73999,2036.719971,2048.860107,4141920000
05/02/2015,2062.52002,2063.550049,2043.449951,2043.449951,3821990000
06/02/2015,2055.469971,2072.399902,2049.969971,2062.280029,4232970000
09/02/2015,2046.73999,2056.159912,2041.880005,2053.469971,3549540000
10/02/2015,2068.590088,2070.860107,2048.620117,2049.379883,3669850000
11/02/2015,2068.530029,2073.47998,2057.98999,2068.550049,3596860000
12/02/2015,2088.47998,2088.530029,2069.97998,2069.97998,3788350000
13/02/2015,2096.98999,2097.030029,2086.699951,2088.780029,3527450000
17/02/2015,2100.340088,2101.300049,2089.800049,2096.469971,3361750000
18/02/2015,2099.679932,2100.22998,2092.149902,2099.159912,3370020000
19/02/2015,2097.449951,2102.129883,2090.790039,2099.25,3247100000
20/02/2015,2110.300049,2110.610107,2085.439941,2097.649902,3281600000
23/02/2015,2109.659912,2110.050049,2103,2109.830078,3093680000
24/02/2015,2115.47998,2117.939941,2105.870117,2109.100098,3199840000
25/02/2015,2113.860107,2119.590088,2109.889893,2115.300049,3312340000
26/02/2015,2110.73999,2113.909912,2103.76001,2113.909912,3408690000
27/02/2015,2104.5,2112.73999,2103.75,2110.879883,3547380000
02/03/2015,2117.389893,2117.52002,2104.5,2105.22998,3409490000
03/03/2015,2107.780029,2115.76001,2098.26001,2115.76001,3262300000
04/03/2015,2098.530029,2107.719971,2094.48999,2107.719971,3421110000
05/03/2015,2101.040039,2104.25,2095.219971,2098.540039,3103030000
06/03/2015,2071.26001,2100.909912,2067.27002,2100.909912,3853570000
09/03/2015,2079.429932,2083.48999,2072.209961,2072.25,3349090000
10/03/2015,2044.160034,2076.139893,2044.160034,2076.139893,3668900000
11/03/2015,2040.23999,2050.080078,2039.689941,2044.689941,3406570000
12/03/2015,2065.949951,2066.409912,2041.099976,2041.099976,3405860000
13/03/2015,2053.399902,2064.560059,2041.170044,2064.560059,3498560000
16/03/2015,2081.189941,2081.409912,2055.350098,2055.350098,3295600000
17/03/2015,2074.280029,2080.590088,2065.080078,2080.590088,3221840000
18/03/2015,2099.5,2106.850098,2061.22998,2072.840088,4128210000
19/03/2015,2089.27002,2098.689941,2085.560059,2098.689941,3305220000
20/03/2015,2108.100098,2113.919922,2090.320068,2090.320068,5554120000
23/03/2015,2104.419922,2114.860107,2104.419922,2107.98999,3267960000
24/03/2015,2091.5,2107.629883,2091.5,2103.939941,3189820000
25/03/2015,2061.050049,2097.429932,2061.050049,2093.100098,3521140000
26/03/2015,2056.149902,2067.149902,2045.5,2059.939941,3510670000
27/03/2015,2061.02002,2062.830078,2052.959961,2055.780029,3008550000
30/03/2015,2086.23999,2088.969971,2064.110107,2064.110107,2917690000
