Date,Close,High,Low,Open,Volume
02/01/2015,6547.799805,6607.899902,6510.600098,6566.100098,367562200
05/01/2015,6417.200195,6576.700195,6404.5,6547.799805,728001100
06/01/2015,6366.5,6452.700195,6328.600098,6417.200195,769463100
07/01/2015,6419.799805,6459.700195,6366.5,6366.5,688211500
08/01/2015,6570,6580.799805,6419.799805,6419.799805,882740200
09/01/2015,6501.100098,6570.200195,6471.399902,6570,738488500
12/01/2015,6501.399902,6542.399902,6447.899902,6501.100098,602313100
13/01/2015,6542.200195,6558.799805,6465.200195,6501.399902,673572900
14/01/2015,6388.5,6542.200195,6353.700195,6542.200195,971256900
15/01/2015,6498.799805,6498.799805,6298.200195,6388.5,980049600
16/01/2015,6550.299805,6553.200195,6443.299805,6498.799805,805741900
19/01/2015,6585.5,6598.899902,6548,6550.299805,537915700
20/01/2015,6620.100098,6640.399902,6585.5,6585.5,677002900
21/01/2015,6728,6728,6620.100098,6620.100098,847589600
22/01/2015,6796.600098,6808.200195,6726.200195,6728,926018400
23/01/2015,6832.799805,6841.700195,6796.600098,6796.600098,839368300
26/01/2015,6852.399902,6855.899902,6790.100098,6832.799805,611915000
27/01/2015,6811.600098,6865,6773.5,6852.399902,713907000
28/01/2015,6825.899902,6863,6777.100098,6811.600098,779603800
29/01/2015,6810.600098,6825.899902,6750.200195,6825.899902,704517100
30/01/2015,6749.399902,6844,6749.399902,6810.600098,799357300
02/02/2015,6782.600098,6795.5,6732,6749.399902,757554400
03/02/2015,6871.799805,6886.299805,6782.399902,6782.600098,855708500
04/02/2015,6860,6883.5,6804.100098,6871.799805,817845800
05/02/2015,6865.899902,6870.100098,6808.200195,6860,731200400
06/02/2015,6853.399902,6886.200195,6835.5,6865.899902,648533700
09/02/2015,6837.200195,6853.399902,6778,6853.399902,620697200
10/02/2015,6829.100098,6843.899902,6788.899902,6837.200195,773108400
11/02/2015,6818.200195,6838.299805,6786.100098,6829.100098,623275800
12/02/2015,6828.100098,6854.600098,6817.200195,6818.200195,809863300
13/02/2015,6873.5,6887.600098,6828.100098,6828.100098,734854200
16/02/2015,6857.100098,6878.700195,6851.799805,6873.5,415979100
17/02/2015,6898.100098,6898.100098,6819.799805,6857.100098,612932700
18/02/2015,6898.100098,6921.299805,6876.299805,6898.100098,677405400
19/02/2015,6888.899902,6907.299805,6858.700195,6898.100098,641759700
20/02/2015,6915.200195,6920.5,6884.799805,6888.899902,764028800
23/02/2015,6912.200195,6943.600098,6885.899902,6915.200195,680805600
24/02/2015,6949.600098,6958.899902,6899.600098,6912.200195,831640000
25/02/2015,6935.399902,6955.399902,6904.899902,6949.600098,697704800
26/02/2015,6949.700195,6950,6920.5,6935.399902,782087000
27/02/2015,6946.700195,6967.200195,6929.799805,6949.700195,881579100
02/03/2015,6940.600098,6974.299805,6924.299805,6946.700195,778879400
03/03/2015,6889.100098,6963.600098,6889.100098,6940.600098,784037600
04/03/2015,6919.200195,6919.200195,6862.899902,6889.100098,741168200
05/03/2015,6961.100098,6968.600098,6914.100098,6919.200195,798406800
06/03/2015,6911.799805,6961.200195,6911.799805,6961.100098,748637900
09/03/2015,6876.5,6911.799805,6859.799805,6911.799805,670579200
10/03/2015,6702.799805,6876.899902,6702.799805,6876.5,887272000
11/03/2015,6721.5,6739,6693.799805,6702.799805,746833900
12/03/2015,6761.100098,6799.799805,6721.5,6721.5,845927100
13/03/2015,6740.600098,6777.799805,6713.5,6761.100098,710321200
16/03/2015,6804.100098,6809.100098,6740.600098,6740.600098,685731900
17/03/2015,6837.600098,6846.899902,6798.5,6804.100098,757362800
18/03/2015,6945.200195,6945.200195,6837.299805,6837.600098,772632700
19/03/2015,6962.299805,6982.799805,6929.700195,6945.200195,809174400
20/03/2015,7022.5,7024.200195,6960.799805,6962.299805,1419421400
23/03/2015,7037.700195,7037.700195,6991.399902,7022.5,673591200
24/03/2015,7019.700195,7065.100098,7012.5,7037.700195,702620900
25/03/2015,6991,7035.100098,6983.899902,7019.700195,645837600
26/03/2015,6895.299805,6991,6876.799805,6991,936518300
27/03/2015,6855,6910.600098,6839.899902,6895.299805,736697300
30/03/2015,6891.399902,6914.600098,6855,6855,639393900
31/03/2015,6773,6910.100098,6765.100098,6891.399902,900335700
01/04/2015,6809.5,6856.399902,6765.399902,6773,800482200
02/04/2015,6833.5,6849.899902,6801.299805,6809.5,575894800
07/04/2015,6961.799805,6967.700195,6833.5,6833.5,704104300
08/04/2015,6937.399902,7012.100098,6931.600098,6961.799805,865524000
09/04/2015,7015.399902,7017,6937.399902,6937.399902,698600800
