Date,FTSE100,GBPUSD,SP500,UK_Gov_Bonds
05/01/2015,-0.019945571625490377,-0.01892271016405911,-0.01827810508970318,-0.02064380108510344
06/01/2015,-0.027688660374368235,-0.020629239468640148,-0.027009021146361833,-0.02788463243145478
07/01/2015,-0.01954855124041155,-0.02835342028088228,-0.01569328916964885,-0.01956558031366129
08/01/2015,0.0033904816367549273,-0.03030571779042035,0.0019142659089490532,0.002002895676853411
09/01/2015,-0.007132121993763452,-0.031563941883594904,-0.006505632260604521,-0.007702696604461212
12/01/2015,-0.007086335010512923,-0.025047407236132302,-0.01454666296413698,-0.00724054802717633
13/01/2015,-0.0008551895547760369,-0.026275024875702435,-0.01708770908429591,-0.001232238795806917
14/01/2015,-0.024328753129922775,-0.026275024875702435,-0.022801444037154228,-0.024495479910255025
15/01/2015,-0.00748342977172034,-0.022165980107291428,-0.031838455232768625,-0.007394660507382467
16/01/2015,0.0003818076414141558,-0.025580262743528204,-0.018841661608804405,-0.00015392359269794653
20/01/2015,0.011041921737556804,-0.03143241128467067,-0.017320912860132376,0.011400451861089511
21/01/2015,0.02752072457413801,-0.02774994091453753,-0.012671245078656468,0.027731086589598553
22/01/2015,0.03799754122140553,-0.02791192520437924,0.002404990340027613,0.03759088578278602
23/01/2015,0.04352607112122886,-0.036361933532320534,-0.003099739166206872,0.04421545607164634
26/01/2015,0.046519457844053536,-0.037474624850046934,-0.000539239639696043,0.04683461278181622
27/01/2015,0.04028838706989135,-0.031724700862641786,-0.013919882752926771,0.04020994806128897
28/01/2015,0.04247229684506215,-0.025136318971016203,-0.027227634988899907,0.04236638960417327
29/01/2015,0.04013566401332569,-0.028073831829157347,-0.017952556544395426,0.04067181334357328
30/01/2015,0.030788983017784766,-0.032133447598624576,-0.030711282919469562,0.02988771699581605
02/02/2015,0.03585941842948559,-0.031622399927560885,-0.018146912782624813,0.03605013870739171
03/02/2015,0.04948227032729169,-0.03540617634973042,-0.003969450099360117,0.049145355668239965
04/02/2015,0.04768016804081232,-0.028088523363352103,-0.008108998832640602,0.04837498213054303
05/02/2015,0.04858121910769064,-0.02565425315832659,0.0020989549620291648,0.04899095989303359
06/02/2015,0.0466721809006192,-0.016291412679069084,-0.001326392024581513,0.047142648878894855
09/02/2015,0.04419811213211022,-0.021867951658804285,-0.005567953198343356,0.04436956855185259
10/02/2015,0.04296104055979133,-0.02334133750333145,0.005048166964998213,0.04298265072935292
11/02/2015,0.04129637405736153,-0.020389974589492654,0.005018986612539855,0.04190461873421625
12/02/2015,0.04280831750322567,-0.021629451876811534,0.01471189861086497,0.044831433834137124
13/02/2015,0.04974192930444965,-0.012051831552918668,0.018846584356953633,0.0516102110348704
17/02/2015,0.053498931462825805,-0.014342710869411524,0.020474267808394897,0.05546160658919619
18/02/2015,0.053498931462825805,-0.014524282801746335,0.020153523461044598,0.05469123302732459
19/02/2015,0.05209384940870221,-0.009031834546219919,0.01907006167254499,0.0557698314722499
20/02/2015,0.0561105105442361,-0.010254172245194648,0.025313428840908037,0.059005343724761294
23/02/2015,0.055652341374538894,-0.012234321345094279,0.025002410953802956,0.05885113681288834
24/02/2015,0.06136416887596008,-0.00817424664570654,0.027830157595800653,0.0645508432894899
25/02/2015,0.05919547153900795,-0.0077449937655293954,0.027043123761107957,0.06254851430900499
26/02/2015,0.06137945599575323,-0.0032610218660433787,0.02552717921039327,0.06165613504330669
27/02/2015,0.06092128682605602,-0.010376367631862338,0.022495408659156002,0.061039779554148854
02/03/2015,0.059989661366868674,-0.011138616853025196,0.028758110683678728,0.06026931164763871
03/03/2015,0.0521244239537344,-0.014161062555732906,0.024089048285085735,0.053336516291998315
04/03/2015,0.056721402770498974,-0.013676259257519252,0.019594829929135527,0.05811277561023398
05/03/2015,0.06312048402646586,-0.020195625149567853,0.0208143470119051,0.06643192222738281
06/03/2015,0.0555911925899204,-0.021316120201522293,0.0063453791229830525,0.05888305476944811
09/03/2015,0.05020009847414664,-0.03350346124368275,0.010314829222343391,0.052874273326560584
10/03/2015,0.023672073767685653,-0.030481474470895442,-0.0068214543456665,0.02637542558111816
11/03/2015,0.02652802470646054,-0.031943688741624454,-0.008726052583605148,0.029918785014190874
12/03/2015,0.032575872713322296,-0.04151350468942938,0.0037654261901207686,0.036543638598051764
13/03/2015,0.029445050053725108,-0.04401181840439017,-0.0023321587378656305,0.03423261245047193
16/03/2015,0.039142964145647996,-0.05288472904938546,0.01116994973633667,0.043784658807736854
17/03/2015,0.04425918654059946,-0.04839134619815977,0.007812689914888038,0.048252504258712525
18/03/2015,0.06069220224120708,-0.05312223394833404,0.02006610143972387,0.06489155283030712
19/03/2015,0.06330370694648879,-0.039649276794417765,0.015095748585993718,0.06982107468089405
20/03/2015,0.07249766473274089,-0.05250720110147444,0.024244557471569284,0.0787573321728463
23/03/2015,0.07481908497353595,-0.04085470469093866,0.02245650184645287,0.08091386814739754
24/03/2015,0.07207006995535314,-0.040295452048005775,0.01617920988863175,0.07844891834910062
25/03/2015,0.06768688845092097,-0.047869126311438026,0.0013847527294983397,0.07367322566437973
26/03/2015,0.05307126215658586,-0.04507852366036624,-0.0009960397671776589,0.05903716713361695
27/03/2015,0.046916552757983565,-0.046298718830565466,0.0013701627961999474,0.053490439952385005
30/03/2015,0.05247565705011614,-0.04453832270680291,0.01362357383517443,0.05965305052729408
31/03/2015,0.034393262119594814,-0.04946241289303044,0.004707969211297014,0.041011295132509895
01/04/2015,0.03996765368424349,-0.04815146962640571,0.0007239286927769317,0.046095496053303764
