Date,FTSE100,GBPUSD,SP500,UK_Gov_Bonds
05/01/2015,,,,
06/01/2015,,,,
07/01/2015,,,,
08/01/2015,,,,
09/01/2015,,,,
12/01/2015,,,,
13/01/2015,,,,
14/01/2015,,,,
15/01/2015,,,,
16/01/2015,,,,
20/01/2015,,,,
21/01/2015,,,,
22/01/2015,,,,
23/01/2015,,,,
26/01/2015,,,,
27/01/2015,,,,
28/01/2015,,,,
29/01/2015,,,,
30/01/2015,,,,
02/02/2015,,,,
03/02/2015,,,,
04/02/2015,,,,
05/02/2015,,,,
06/02/2015,,,,
09/02/2015,,,,
10/02/2015,,,,
11/02/2015,,,,
12/02/2015,,,,
13/02/2015,,,,
17/02/2015,0.010106709637320577,0.006027070906283461,0.010113670280988836,0.01005087366086991
18/02/2015,0.00924718739329687,0.004916844253538359,0.009460446158921307,0.009129444810572995
19/02/2015,0.009069667197425442,0.004999959362138513,0.00927501873231856,0.008941897367953736
20/02/2015,0.009008881725157408,0.004761367213731924,0.009122671571062167,0.008875804219694345
23/02/2015,0.00811047616258477,0.004761203262917652,0.008577308655420045,0.00809423052981729
24/02/2015,0.007798356577187895,0.00478813854955241,0.008404875937523378,0.007814927516201326
25/02/2015,0.007828044685765458,0.004655770640744732,0.00823113688202175,0.007846379465439191
26/02/2015,0.007789845496455459,0.00469568157709486,0.008215152946827595,0.007833525011783074
27/02/2015,0.006147399234185877,0.004912925124208727,0.008144332247719563,0.006231979100298114
02/03/2015,0.00553905605039496,0.004868722762832686,0.007922536104197127,0.005606398867251158
03/03/2015,0.005699282985617276,0.004857408148673438,0.007709659870500156,0.005741515667551548
04/03/2015,0.005469491863256864,0.004704390469305163,0.007783083380845002,0.005464615183483865
05/03/2015,0.004790649740320512,0.004843280895806984,0.0077554104323339,0.004877845667764372
06/03/2015,0.004703049739902131,0.004849593868851747,0.0077688578732788005,0.004843422640063367
09/03/2015,0.00472500778575055,0.005128882526889277,0.00772303824115967,0.004854803144101122
10/03/2015,0.0066006058964831645,0.005151951544814593,0.008338990247970106,0.006697870337704294
11/03/2015,0.006554144679011832,0.005045521421632106,0.00796702245201101,0.006649094481220233
12/03/2015,0.006640467515157282,0.0051880587433968985,0.00784318057058838,0.006749838646792716
13/03/2015,0.006650014770822281,0.005181931660458687,0.007780175092476531,0.0067552443639681
16/03/2015,0.0066722413795145845,0.005385347685365005,0.007694269175860874,0.0066843059282997806
17/03/2015,0.006672349473591739,0.0054730232738200305,0.007422923153815875,0.006642955283132832
18/03/2015,0.00685827725865828,0.005498802169833705,0.0072899085996154765,0.006870533143442768
19/03/2015,0.006856716382850874,0.005954764543405741,0.007307928515902116,0.006906466835900102
20/03/2015,0.007015704646558966,0.006380875968328613,0.007254175935243765,0.007046275694475505
23/03/2015,0.00700256089508723,0.006550386264730842,0.0072273815925331195,0.007029665037193765
24/03/2015,0.007005774438639842,0.00649003454313319,0.007281096147388313,0.0070232516109627946
25/03/2015,0.00705548732634101,0.006623658047487706,0.007547287497852336,0.007082690723488515
26/03/2015,0.007527118092074533,0.0066218556737604635,0.007558759511994747,0.007564026638662284
27/03/2015,0.007609467899149358,0.006621884493054615,0.007346662959408303,0.007624375495900392
30/03/2015,0.007573933503890734,0.0063352379590998235,0.007662977389132379,0.007607395836091571
31/03/2015,0.008171297052668888,0.0063751446975169775,0.007815011463940843,0.008244773792152169
01/04/2015,0.008243346168055098,0.00639001368803265,0.007840578587012792,0.008301160939221782
02/04/2015,0.008271995449263712,0.00627224852712394,0.007876207754359266,0.008356913710194534
07/04/2015,0.008947892812618777,0.006336807161970929,0.007835544699075247,0.008955878384431258
08/04/2015,0.008973666025131437,0.006364676299548503,0.007857208405027337,0.008979035832516335
09/04/2015,0.009152740948492444,0.0063529667677855615,0.007886908407292635,0.009180656823683641
10/04/2015,0.009328108929962626,0.006587268462613571,0.007951207773882479,0.009391704929061592
13/04/2015,0.009358380462502036,0.006510908016678343,0.007989106184493694,0.00943180661983673
14/04/2015,0.00935795385482571,0.006470405645959854,0.007979595083770418,0.009428209323142818
15/04/2015,0.009363161869167084,0.0066631772652615716,0.007955248485206392,0.00943617621346324
16/04/2015,0.00930277186363076,0.00672164622784276,0.007913054324227418,0.009405803894440476
17/04/2015,0.009459682154834528,0.006852807652940725,0.008142634639169359,0.009576111410600661
20/04/2015,0.009512390661619541,0.006805961269607584,0.008321986192715236,0.009587815292887037
21/04/2015,0.009405757271019045,0.006831767442667355,0.007886557593219714,0.00947653895179553
22/04/2015,0.009401642597496783,0.006473502589103902,0.007906775124271565,0.00945725836439535
23/04/2015,0.00802173718903003,0.00657454472935426,0.007191239957457358,0.008089294601402761
24/04/2015,0.008020311850500781,0.006572135534759345,0.007170602774096957,0.008086717316541184
27/04/2015,0.008001998516858002,0.0064699433450912044,0.006904680383739399,0.0080560007619315
28/04/2015,0.008257895447388624,0.006457586727922891,0.0067929328535606395,0.008292567274720263
29/04/2015,0.008466034398594429,0.0062764118399998275,0.006415909352707367,0.008565572478598708
30/04/2015,0.008433129099170242,0.006304305168474889,0.006668540020634594,0.008550242989503935
01/05/2015,0.007962025642405187,0.006294555162984529,0.006595570901211835,0.008080214112893674
05/05/2015,0.008101145712989389,0.006499650904380904,0.006742367632706125,0.008191563356565798
06/05/2015,0.007933203792892066,0.005975117361079382,0.006569462681622416,0.008045033622685875
07/05/2015,0.008000360368936336,0.00562225714115466,0.006608342814642655,0.008085784701927981
08/05/2015,0.009099935353847236,0.005919899230942072,0.006964096749475011,0.0091795968971234
