,FTSE100,GBPUSD,SP500,UK_Gov_Bonds
FTSE100,1.0,-0.0005881708201741162,0.529461098619663,0.9879630503219298
GBPUSD,-0.0005881708201741162,1.0,0.025279862501547744,-0.004838582062611069
SP500,0.529461098619663,0.025279862501547744,1.0,0.5280871303965934
UK_Gov_Bonds,0.9879630503219298,-0.004838582062611069,0.5280871303965934,1.0
